total_w,gonad_w,newage,site,maturity
38,0.3,1,K,M
34.5,0.13,1,K,M
34.5,0.31,1,K,M
46,0.42,1.5,K,M
40,0.1,1,K,M
38.5,0.5,1,K,M
33.5,0.49,1.5,K,M
24,0.21,1,K,M
65.5,1.14,NA,K,M
102.5,1.39,2,K,M
134,1.33,2,K,M
97.5,1.23,2,K,M
1037.5,140.94,4,K,M
843,39.04,4,K,M
297.5,12.71,3,K,M
428.5,8.72,3.5,K,M
432,6.58,3,K,M
275.5,6.12,3,K,M
405.5,16.01,3,K,M
346.5,8.54,3,K,M
312,11.86,2,K,M
284.5,5.99,3,K,M
281,13.8,3,K,M
262,12.31,3,K,M
293,4.36,3,K,M
264.5,7.46,3,K,M
269,5.9,3,K,M
76,0.37,2,K,M
223.5,11.66,3,K,M
366,12.86,3,K,M
406.5,8.43,3.5,K,M
226,4.75,3,K,M
275,6.49,3,K,M
216,1.72,3,K,I
199.5,11.27,3,K,M
150.5,1.07,3,K,M
109.5,0.76,2,K,I
95,0.65,3,K,M
58.5,0.2,1.5,K,I
180,4.4,3,K,M
144.5,0.57,3,K,M
180,9.35,3,K,M
193,4.36,3,K,M
194.5,7.79,NA,K,M
207,2.64,3,K,M
156.5,2.1,3,K,M
166.5,0.27,2.5,K,I
155,4.76,3,K,M
156,0.84,2,K,I
383,28.49,4,K,M
344,15.61,3,K,M
165,4.56,2,K,M
300.5,10.67,2.5,K,M
268.5,6.27,3,K,M
112.5,0.54,2,K,M
111.5,0.29,2,K,M
168.5,6.05,2,K,M
136.5,4,2,K,M
109,0.87,2,K,M
166,1.7,3,K,M
170,2.82,3,K,M
164.2,0.85,3,K,M
158.5,2.24,2,K,M
233.5,1.03,3,K,M
161.5,0.92,3,K,M
153.5,0.74,3,K,M
163,1.33,3,K,M
130,0.73,3,K,M
285,6.58,2.5,K,M
245.5,7.97,3,K,M
237.5,0.8,2.5,K,I
230.5,1.99,2.5,K,I
275.5,6.11,3.5,K,M
379,14.47,4,K,M
191,7.08,3,K,M
191,3.46,3,K,M
251,20.51,3.5,K,M
203,5.71,3,K,M
219.5,5.84,3,K,M
169.5,7.68,2,K,M
166,4.44,2,K,M
275,5.13,4,K,M
275,5.61,3,K,M
435,19.47,3.5,K,M
286,7.62,3,K,M
324,3.31,3,K,M
335.5,12.95,3,K,M
257,7.36,2,K,M
396.5,14.9,3,K,M
266,5.13,2.5,K,M
138.5,3.37,2,K,M
77,3.7,2,K,M
193.5,6.96,3,K,M
122.5,4.1,3,K,M
117,4.44,3,K,M
83,1.07,2,K,M
56.5,2.18,1.5,K,M
46.5,0.63,1,K,M
44,1.07,1,K,M
55,1.22,1,K,M
59.5,2.4,1,K,M
72.5,3.13,1.5,K,M
95,1.95,3,K,M
63.5,1.48,1,K,M
277,14.67,3,K,M
396.5,12.96,3,K,M
321.5,9,3,K,M
218.5,3,3,K,M
454.5,14.26,3,K,M
261.5,4.24,3,K,M
306.5,5.03,3,K,M
269.5,8.83,3,K,M
228.5,11.26,3,K,M
230.5,6.89,3,K,M
